ID,CMD3region,RA,Dec,k36mag,e36mag,k80mag,e80mag,threesixMINUSeightzero,ERRORthreesixMINUSeightzero
7979,5,296.40767,-14.66833,17.04,0.05,14.59,0.25,2.45,0.254950976
7988,5,296.20073,-14.7371,16.88,0.08,13.05,0.05,3.83,0.094339811
8088,5,296.1951,-14.77185,18.55,0.11,14.06,0.05,4.49,0.12083046
8104,5,296.28024,-14.87057,17.31,0.16,13.88,0.03,3.43,0.162788206
8145,5,296.04298,-14.80325,17.14,0.11,13.55,0.08,3.59,0.136014705
8191,5,296.20802,-14.88421,17.13,0.06,12.87,0.07,4.26,0.092195445
8220,5,296.28312,-14.80923,17.23,0.13,14.28,0.1,2.95,0.164012195
8232,5,296.1605,-14.86289,17.79,0.09,13.8,0.06,3.99,0.108166538
8250,5,296.19154,-14.77824,17.56,0.15,14.44,0.06,3.12,0.161554944
8288,5,296.24045,-14.79322,17.17,0.06,13.69,0.07,3.48,0.092195445
