ID,RA,Dec,k36mag,e36mag,Jmag,eJmag,jMINUSthreesix,ERRORjMINUSthreesix
12292,296.33488,-14.79281,17.33,0.04,18.474,0.064,1.144,0.075471849
12294,296.2339,-14.85805,17.27,0.06,18.163,0.061,0.893,0.085562842
12295,296.22546,-14.77966,17.44,0.06,18.808,0.105,1.368,0.120933866
12299,296.41426,-14.82131,17.39,0.09,18.179,0.05,0.789,0.102956301
12300,296.04501,-14.80965,17.56,0.14,18.28,0.076,0.72,0.159298462
12301,296.23384,-14.74072,17.53,0.06,19.085,0.132,1.555,0.144996552
12302,296.18891,-14.89206,17.83,0.08,19.408,0.172,1.578,0.189694491
12306,296.2542,-14.65978,17.75,0.05,18.799,0.097,1.049,0.109128365
12309,296.17473,-14.9075,17.48,0.06,18.628,0.089,1.148,0.107335921
12311,296.33543,-14.91184,17.35,0.07,18.329,0.057,0.979,0.090271812
12314,296.31794,-14.79548,17.15,0.08,18.912,0.091,1.762,0.121165177
12315,296.39246,-14.82018,17.47,0.07,18.585,0.069,1.115,0.098290386
12316,296.24958,-14.85187,17.57,0.07,18.301,0.068,0.731,0.097590983
12317,296.22094,-14.7767,17.48,0.06,18.504,0.082,1.024,0.101607086
12318,296.34536,-14.68202,17.52,0.06,18.52,0.08,1,0.1
12321,296.15611,-14.80574,17.55,0.05,18.663,0.092,1.113,0.104709121
12323,296.20748,-14.80227,17.55,0.06,18.926,0.116,1.376,0.130598622
12325,296.26769,-14.78812,17.62,0.06,18.939,0.116,1.319,0.130598622
12326,296.39972,-14.91041,17.62,0.05,18.735,0.078,1.115,0.092649879
12327,296.14444,-14.83983,17.42,0.06,18.459,0.078,1.039,0.098407317
12328,296.27379,-14.673,17.59,0.07,18.448,0.072,0.858,0.100419122
12331,296.23889,-14.72376,17.49,0.06,18.686,0.093,1.196,0.1106752
12333,296.39172,-14.67402,18,0.08,18.643,0.088,0.643,0.11892855
12335,296.38752,-14.83691,17.46,0.07,18.093,0.047,0.633,0.084314886
12336,296.30125,-14.7296,17.47,0.05,18.642,0.089,1.172,0.102083299
12337,296.22511,-14.93583,17.38,0.05,18.653,0.091,1.273,0.103831594
12339,296.20605,-14.839,17.7,0.06,19.104,0.134,1.404,0.146819617
12340,296.05057,-14.82327,17.56,0.07,18.398,0.084,0.838,0.109343495
12342,296.166,-14.8328,17.45,0.04,18.58,0.086,1.13,0.094847246
12344,296.26019,-14.80843,17.32,0.04,18.709,0.096,1.389,0.104
